name,opposition,evaluation
Raigon,Lucie,4
Raigon,Oldur,1
Raigon,Pearl,1
Raigon,Pestilus,5
Raigon,Poloma,3
Raigon,Sirius,2
Raigon,Ulric,2
Raigon,Zander,3
Rook,Ruh Kaan,1
Rook,Shifu,2
Rook,Thorn,5
Rook,Alysia,4
Rook,Ashka,3
Rook,Destiny,1
Rook,Ezmo,1
Rook,Iva,2
Rook,Jade,2
Rook,Jumong,3
Rook,Shen Rao,3
Rook,Taya,4
Rook,Varesh,2
Rook,Blossom,3
Rook,Lucie,5
Rook,Oldur,2
Rook,Pearl,1
Rook,Pestilus,3
Rook,Poloma,3
Rook,Sirius,3
Rook,Ulric,2
Rook,Zander,3
Ruh Kaan,Shifu,3
Ruh Kaan,Thorn,4
Ruh Kaan,Alysia,3
Ruh Kaan,Ashka,4
Ruh Kaan,Destiny,1
Ruh Kaan,Ezmo,3
Ruh Kaan,Iva,3
Ruh Kaan,Jade,3
Ruh Kaan,Jumong,4
Ruh Kaan,Shen Rao,2
Ruh Kaan,Taya,3
Ruh Kaan,Varesh,2
Ruh Kaan,Blossom,3
Ruh Kaan,Lucie,4
Ruh Kaan,Oldur,3
Ruh Kaan,Pearl,1
Ruh Kaan,Pestilus,4
Ruh Kaan,Poloma,4
Ruh Kaan,Sirius,3
Ruh Kaan,Ulric,3
Ruh Kaan,Zander,3
Shifu,Thorn,4
Shifu,Alysia,5
Shifu,Ashka,3
Shifu,Destiny,2
Shifu,Ezmo,3
Shifu,Iva,3
Shifu,Jade,2
Shifu,Jumong,5
Shifu,Shen Rao,4
Shifu,Taya,2
Shifu,Varesh,3
Shifu,Blossom,5
Shifu,Lucie,4
Shifu,Oldur,4
Shifu,Pearl,2
Shifu,Pestilus,4
Shifu,Poloma,3
Shifu,Sirius,3
Shifu,Ulric,2
Shifu,Zander,4
Thorn,Alysia,1
Thorn,Ashka,1
Thorn,Destiny,2
Thorn,Ezmo,3
Thorn,Iva,2
Thorn,Jade,1
Thorn,Jumong,2
Thorn,Shen Rao,3
Thorn,Taya,1
Thorn,Varesh,1
Thorn,Blossom,2
Thorn,Lucie,4
Thorn,Oldur,3
Thorn,Pearl,3
Thorn,Pestilus,3
Thorn,Poloma,5
Thorn,Sirius,4
Thorn,Ulric,3
Thorn,Zander,1
Alysia,Ashka,2
Alysia,Destiny,4
Alysia,Ezmo,3
Alysia,Iva,3
Alysia,Jade,3
Alysia,Jumong,3
Alysia,Shen Rao,2
Alysia,Taya,3
Alysia,Varesh,4
Alysia,Blossom,2
Alysia,Lucie,4
Alysia,Oldur,4
Alysia,Pearl,3
Alysia,Pestilus,5
Alysia,Poloma,4
Alysia,Sirius,4
Alysia,Ulric,3
Alysia,Zander,2
Ashka,Destiny,4
Ashka,Ezmo,3
Ashka,Iva,4
Ashka,Jade,2
Ashka,Jumong,3
Ashka,Shen Rao,4
Ashka,Taya,3
Ashka,Varesh,4
Ashka,Blossom,3
Ashka,Lucie,4
Ashka,Oldur,4
Ashka,Pearl,3
Ashka,Pestilus,5
Ashka,Poloma,3
Ashka,Sirius,3
Ashka,Ulric,3
Ashka,Zander,2
Destiny,Ezmo,3
Destiny,Iva,3
Destiny,Jade,3
Destiny,Jumong,2
Destiny,Shen Rao,2
Destiny,Taya,3
Destiny,Varesh,3
Destiny,Blossom,3
Destiny,Lucie,2
Destiny,Oldur,3
Destiny,Pearl,3
Destiny,Pestilus,2
Destiny,Poloma,2
Destiny,Sirius,5
Destiny,Ulric,4
Destiny,Zander,2
Ezmo,Iva,3
Ezmo,Jade,3
Ezmo,Jumong,4
Ezmo,Shen Rao,3
Ezmo,Taya,2
Ezmo,Varesh,3
Ezmo,Blossom,3
Ezmo,Lucie,5
Ezmo,Oldur,3
Ezmo,Pearl,2
Ezmo,Pestilus,4
Ezmo,Poloma,5
Ezmo,Sirius,4
Ezmo,Ulric,3
Ezmo,Zander,4
Iva,Jade,3
Iva,Jumong,4
Iva,Shen Rao,3
Iva,Taya,3
Iva,Varesh,3
Iva,Blossom,1
Iva,Lucie,4
Iva,Oldur,3
Iva,Pearl,3
Iva,Pestilus,3
Iva,Poloma,2
Iva,Sirius,4
Iva,Ulric,4
Iva,Zander,3
Jade,Jumong,4
Jade,Shen Rao,3
Jade,Taya,3
Jade,Varesh,3
Jade,Blossom,2
Jade,Lucie,4
Jade,Oldur,3
Jade,Pearl,2
Jade,Pestilus,4
Jade,Poloma,4
Jade,Sirius,4
Jade,Ulric,4
Jade,Zander,3
Jumong,Shen Rao,4
Jumong,Taya,2
Jumong,Varesh,4
Jumong,Blossom,2
Jumong,Lucie,5
Jumong,Oldur,3
Jumong,Pearl,4
Jumong,Pestilus,3
Jumong,Poloma,4
Jumong,Sirius,2
Jumong,Ulric,2
Jumong,Zander,3
Shen Rao,Taya,3
Shen Rao,Varesh,5
Shen Rao,Blossom,3
Shen Rao,Lucie,4
Shen Rao,Oldur,3
Shen Rao,Pearl,3
Shen Rao,Pestilus,2
Shen Rao,Poloma,5
Shen Rao,Sirius,3
Shen Rao,Ulric,4
Shen Rao,Zander,2
Taya,Varesh,3
Taya,Blossom,3
Taya,Lucie,5
Taya,Oldur,3
Taya,Pearl,2
Taya,Pestilus,5
Taya,Poloma,4
Taya,Sirius,3
Taya,Ulric,2
Taya,Zander,3
Varesh,Blossom,3
Varesh,Lucie,4
Varesh,Oldur,2
Varesh,Pearl,3
Varesh,Pestilus,1
Varesh,Poloma,3
Varesh,Sirius,3
Varesh,Ulric,3
Varesh,Zander,2
Blossom,Lucie,4
Blossom,Oldur,2
Blossom,Pearl,2
Blossom,Pestilus,3
Blossom,Poloma,4
Blossom,Sirius,1
Blossom,Ulric,2
Blossom,Zander,2
Lucie,Oldur,2
Lucie,Pearl,4
Lucie,Pestilus,2
Lucie,Poloma,3
Lucie,Sirius,3
Lucie,Ulric,2
Lucie,Zander,2
Oldur,Pearl,3
Oldur,Pestilus,3
Oldur,Poloma,4
Oldur,Sirius,3
Oldur,Ulric,3
Oldur,Zander,3
Pearl,Pestilus,1
Pearl,Poloma,4
Pearl,Sirius,4
Pearl,Ulric,5
Pearl,Zander,3
Pestilus,Poloma,3
Pestilus,Sirius,3
Pestilus,Ulric,2
Pestilus,Zander,2
Poloma,Sirius,3
Poloma,Ulric,2
Poloma,Zander,3
Sirius,Ulric,2
Sirius,Zander,3
Ulric,Zander,3
