name,opposition,evaluation
Jamila,Lucie,2
Jamila,Oldur,1
Jamila,Pearl,-1
Jamila,Pestilus,2
Jamila,Poloma,0
Jamila,Sirius,0
Jamila,Ulric,0
Jamila,Zander,2
Raigon,Rook,1
Raigon,Ruh Kaan,0
Raigon,Shifu,-1
Raigon,Thorn,1
Raigon,Alysia,1
Raigon,Ashka,0
Raigon,Destiny,-2
Raigon,Ezmo,-1
Raigon,Iva,0
Raigon,Jade,0
Raigon,Jumong,1
Raigon,Shen Rao,0
Raigon,Taya,0
Raigon,Varesh,-1
Raigon,Blossom,2
Raigon,Lucie,1
Raigon,Oldur,-2
Raigon,Pearl,-2
Raigon,Pestilus,2
Raigon,Poloma,0
Raigon,Sirius,-1
Raigon,Ulric,-1
Raigon,Zander,0
Rook,Ruh Kaan,-2
Rook,Shifu,-1
Rook,Thorn,2
Rook,Alysia,1
Rook,Ashka,0
Rook,Destiny,-2
Rook,Ezmo,-2
Rook,Iva,-1
Rook,Jade,-1
Rook,Jumong,0
Rook,Shen Rao,0
Rook,Taya,1
Rook,Varesh,-1
Rook,Blossom,0
Rook,Lucie,2
Rook,Oldur,-1
Rook,Pearl,-2
Rook,Pestilus,0
Rook,Poloma,0
Rook,Sirius,0
Rook,Ulric,-1
Rook,Zander,-1
Ruh Kaan,Shifu,0
Ruh Kaan,Thorn,1
Ruh Kaan,Alysia,0
Ruh Kaan,Ashka,0
Ruh Kaan,Destiny,-2
Ruh Kaan,Ezmo,0
Ruh Kaan,Iva,0
Ruh Kaan,Jade,0
Ruh Kaan,Jumong,1
Ruh Kaan,Shen Rao,-1
Ruh Kaan,Taya,0
Ruh Kaan,Varesh,-1
Ruh Kaan,Blossom,0
Ruh Kaan,Lucie,1
Ruh Kaan,Oldur,0
Ruh Kaan,Pearl,-2
Ruh Kaan,Pestilus,1
Ruh Kaan,Poloma,1
Ruh Kaan,Sirius,0
Ruh Kaan,Ulric,0
Ruh Kaan,Zander,0
Shifu,Thorn,1
Shifu,Alysia,2
Shifu,Ashka,0
Shifu,Destiny,-1
Shifu,Ezmo,0
Shifu,Iva,0
Shifu,Jade,-1
Shifu,Jumong,2
Shifu,Shen Rao,1
Shifu,Taya,-1
Shifu,Varesh,0
Shifu,Blossom,2
Shifu,Lucie,1
Shifu,Oldur,1
Shifu,Pearl,-1
Shifu,Pestilus,1
Shifu,Poloma,0
Shifu,Sirius,0
Shifu,Ulric,-1
Shifu,Zander,1
Thorn,Alysia,-1
Thorn,Ashka,-1
Thorn,Destiny,-1
Thorn,Ezmo,0
Thorn,Iva,-1
Thorn,Jade,-2
Thorn,Jumong,-1
Thorn,Shen Rao,0
Thorn,Taya,-2
Thorn,Varesh,-2
Thorn,Blossom,-1
Thorn,Lucie,1
Thorn,Oldur,0
Thorn,Pearl,0
Thorn,Pestilus,0
Thorn,Poloma,2
Thorn,Sirius,1
Thorn,Ulric,0
Thorn,Zander,-2
Alysia,Ashka,-1
Alysia,Destiny,1
Alysia,Ezmo,0
Alysia,Iva,0
Alysia,Jade,0
Alysia,Jumong,0
Alysia,Shen Rao,-1
Alysia,Taya,0
Alysia,Varesh,1
Alysia,Blossom,-1
Alysia,Lucie,-1
Alysia,Oldur,1
Alysia,Pearl,0
Alysia,Pestilus,2
Alysia,Poloma,1
Alysia,Sirius,1
Alysia,Ulric,0
Alysia,Zander,-1
Ashka,Destiny,1
Ashka,Ezmo,0
Ashka,Iva,1
Ashka,Jade,-1
Ashka,Jumong,0
Ashka,Shen Rao,1
Ashka,Taya,0
Ashka,Varesh,1
Ashka,Blossom,0
Ashka,Lucie,1
Ashka,Oldur,1
Ashka,Pearl,1
Ashka,Pestilus,2
Ashka,Poloma,0
Ashka,Sirius,0
Ashka,Ulric,0
Ashka,Zander,0
Destiny,Ezmo,0
Destiny,Iva,1
Destiny,Jade,0
Destiny,Jumong,-1
Destiny,Shen Rao,-1
Destiny,Taya,0
Destiny,Varesh,0
Destiny,Blossom,0
Destiny,Lucie,-1
Destiny,Oldur,0
Destiny,Pearl,1
Destiny,Pestilus,-1
Destiny,Poloma,-1
Destiny,Sirius,2
Destiny,Ulric,1
Destiny,Zander,-1
Ezmo,Iva,0
Ezmo,Jade,0
Ezmo,Jumong,1
Ezmo,Shen Rao,0
Ezmo,Taya,-1
Ezmo,Varesh,0
Ezmo,Blossom,0
Ezmo,Lucie,2
Ezmo,Oldur,0
Ezmo,Pearl,-1
Ezmo,Pestilus,1
Ezmo,Poloma,2
Ezmo,Sirius,1
Ezmo,Ulric,0
Ezmo,Zander,1
Iva,Jade,0
Iva,Jumong,0
Iva,Shen Rao,0
Iva,Taya,0
Iva,Varesh,0
Iva,Blossom,-2
Iva,Lucie,1
Iva,Oldur,0
Iva,Pearl,0
Iva,Pestilus,0
Iva,Poloma,-1
Iva,Sirius,1
Iva,Ulric,1
Iva,Zander,0
Jade,Jumong,1
Jade,Shen Rao,0
Jade,Taya,0
Jade,Varesh,0
Jade,Blossom,-1
Jade,Lucie,1
Jade,Oldur,0
Jade,Pearl,-1
Jade,Pestilus,1
Jade,Poloma,1
Jade,Sirius,1
Jade,Ulric,1
Jade,Zander,0
Jumong,Shen Rao,1
Jumong,Taya,-1
Jumong,Varesh,1
Jumong,Blossom,-1
Jumong,Lucie,2
Jumong,Oldur,0
Jumong,Pearl,1
Jumong,Pestilus,0
Jumong,Poloma,1
Jumong,Sirius,-1
Jumong,Ulric,-1
Jumong,Zander,0
Shen Rao,Taya,0
Shen Rao,Varesh,2
Shen Rao,Blossom,0
Shen Rao,Lucie,1
Shen Rao,Oldur,0
Shen Rao,Pearl,0
Shen Rao,Pestilus,-1
Shen Rao,Poloma,2
Shen Rao,Sirius,0
Shen Rao,Ulric,1
Shen Rao,Zander,-1
Taya,Varesh,0
Taya,Blossom,0
Taya,Lucie,2
Taya,Oldur,0
Taya,Pearl,-1
Taya,Pestilus,2
Taya,Poloma,1
Taya,Sirius,0
Taya,Ulric,-1
Taya,Zander,0
Varesh,Blossom,0
Varesh,Lucie,1
Varesh,Oldur,-1
Varesh,Pearl,0
Varesh,Pestilus,-2
Varesh,Poloma,0
Varesh,Sirius,0
Varesh,Ulric,0
Varesh,Zander,-1
Blossom,Lucie,1
Blossom,Oldur,-1
Blossom,Pearl,-1
Blossom,Pestilus,0
Blossom,Poloma,1
Blossom,Sirius,-2
Blossom,Ulric,-1
Blossom,Zander,-1
Lucie,Oldur,-1
Lucie,Pearl,1
Lucie,Pestilus,-1
Lucie,Poloma,0
Lucie,Sirius,0
Lucie,Ulric,-1
Lucie,Zander,-1
Oldur,Pearl,0
Oldur,Pestilus,0
Oldur,Poloma,1
Oldur,Sirius,0
Oldur,Ulric,0
Oldur,Zander,0
Pearl,Pestilus,-2
Pearl,Poloma,1
Pearl,Sirius,1
Pearl,Ulric,2
Pearl,Zander,-1
Pestilus,Poloma,0
Pestilus,Sirius,0
Pestilus,Ulric,-1
Pestilus,Zander,-1
Poloma,Sirius,0
Poloma,Ulric,0
Poloma,Zander,0
Sirius,Ulric,-1
Sirius,Zander,0
Ulric,Zander,0
